file_name,Orientation Loss,Edge Coverage,Average Thickness,Average Separation,Distance Entropy,Zoom,Focus,Contrast
['data/modified_images/25000/sample_10_001_21.tif'],44.77359009,18.95694733,1.761310697,1.933648825,0.998990399,25000,8.9,70.1598
['data/modified_images/25000/sample_10_001_22.tif'],53.79504776,19.63024139,1.730278373,1.848814726,0.999620562,25000,8.9,70.1598
['data/modified_images/25000/sample_4_001_12.tif'],198.3643646,21.44374847,1.688387513,1.788132548,0.998654948,25000,6.8,72.9474
['data/modified_images/25000/sample_4_001_21.tif'],197.9093781,22.01194763,1.638670921,1.771413445,0.997974429,25000,6.8,72.9474
['data/modified_images/25000/sample_4_001_22.tif'],198.6726074,21.23088837,1.711316586,1.805152535,0.998852081,25000,6.8,72.9474
['data/modified_images/25000/sample_4_002_11.tif'],139.4258728,21.93641663,1.629247785,1.783454418,0.997592545,25000,6.9,72.9474
['data/modified_images/25000/sample_4_002_12.tif'],138.6359711,21.31977081,1.648257732,1.829791903,0.996679803,25000,6.9,72.9474
['data/modified_images/25000/sample_4_002_22.tif'],127.7516022,21.58546448,1.626166582,1.811756968,0.99683202,25000,6.9,72.9474
['data/modified_images/25000/sample_4_003_11.tif'],187.6145782,20.86963654,1.613266468,1.917994857,0.991355727,25000,6.7,72.9474
['data/modified_images/25000/sample_4_003_12.tif'],193.0217285,20.91751099,1.577162862,1.948475599,0.987358659,25000,6.7,72.9474
['data/modified_images/25000/sample_4_003_21.tif'],155.3928375,20.75080872,1.609388947,1.932966471,0.990464806,25000,6.7,72.9474
['data/modified_images/25000/sample_4_004_11.tif'],159.074234,21.002388,1.660269022,1.894463658,0.995808893,25000,6.6,71.1882
['data/modified_images/25000/sample_4_004_12.tif'],155.8734589,20.93849182,1.677646518,1.860475063,0.996751184,25000,6.6,71.1882
['data/modified_images/25000/sample_4_004_21.tif'],143.9450989,20.47119141,1.697307467,1.926707387,0.995382638,25000,6.6,71.1882
['data/modified_images/25000/sample_4_005_11.tif'],79.72278595,18.73836517,1.663990259,2.165328979,0.984663217,25000,6.7,69.3972
['data/modified_images/25000/sample_4_005_12.tif'],79.18200684,18.49956512,1.701189756,2.141396284,0.988308797,25000,6.7,69.3972
['data/modified_images/25000/sample_4_005_22.tif'],62.46996689,17.57698059,1.792434573,2.215231419,0.991418457,25000,6.7,69.3972
['data/modified_images/25000/sample_4_006_11.tif'],145.5061798,21.15802765,1.691139817,1.834677696,0.997319837,25000,6.6,70.4116
['data/modified_images/25000/sample_4_006_12.tif'],159.7799225,21.06628418,1.742888331,1.791777372,0.999305729,25000,6.6,70.4116
['data/modified_images/25000/sample_4_006_21.tif'],166.1683197,20.57437897,1.728996754,1.881355524,0.997170057,25000,6.6,70.4116
['data/modified_images/25000/sample_4_006_22.tif'],158.8952484,20.94783783,1.746303678,1.809764624,0.999505383,25000,6.6,70.4116
['data/modified_images/25000/sample_4_007_11.tif'],120.9228516,19.85912323,1.651432872,1.978521228,0.991476157,25000,6.7,70.4116
['data/modified_images/25000/sample_4_007_21.tif'],139.9816589,19.9514389,1.666050076,1.96477735,0.994025832,25000,6.7,70.4116
['data/modified_images/25000/sample_4_007_22.tif'],140.6590881,19.99530792,1.678734779,1.95376873,0.995429267,25000,6.7,70.4116
['data/modified_images/25000/sample_4_008_11.tif'],110.3555984,20.08934021,1.738378525,1.916078687,0.998528968,25000,6.6,69.3972
['data/modified_images/25000/sample_4_008_21.tif'],122.6362381,20.12519836,1.697940826,1.930858493,0.996550728,25000,6.6,69.3972
['data/modified_images/25000/sample_4_008_22.tif'],109.5011139,19.5941925,1.683474302,2.063974142,0.991810015,25000,6.6,69.3972
['data/modified_images/25000/sampleICE_10_001_12.tif'],184.7893677,20.67089081,1.640001774,1.872778654,0.994591868,25000,5.8,58.584
['data/modified_images/25000/sampleICE_10_001_21.tif'],169.879425,19.23522949,1.663496852,2.050956488,0.988106725,25000,5.8,58.584
['data/modified_images/25000/sampleICE_10_001_22.tif'],184.4407959,19.789505,1.623712897,2.00824666,0.98590653,25000,5.8,58.584
['data/modified_images/50000/pillar1_bottom_11.tif'],154.0320129,20.28751373,1.662985921,1.979994416,0.991369016,50000,8,66.5874
['data/modified_images/50000/pillar1_bottom_12.tif'],158.0170746,19.86141205,1.672053933,2.029197454,0.99018728,50000,8,66.5874
['data/modified_images/50000/pillar1_bottom_22.tif'],155.0707703,20.10211945,1.64849782,2.031367779,0.988426683,50000,8,66.5874
['data/modified_images/50000/pillar1_crown_11.tif'],122.1549988,19.54231262,1.748842478,1.914683461,0.997999449,50000,7.9,66.5874
['data/modified_images/50000/pillar1_crown_21.tif'],139.9579773,20.05519867,1.729446173,1.916695714,0.996570512,50000,7.9,66.5874
['data/modified_images/50000/pillar1_crown_22.tif'],130.2911682,20.49694061,1.713114738,1.83655405,0.998603586,50000,7.9,66.5874
['data/modified_images/50000/pillar1_middle_11.tif'],126.4253616,20.56789398,1.687048197,1.863561034,0.997431468,50000,8,66.5874
['data/modified_images/50000/pillar1_middle_12.tif'],124.3163223,20.45269012,1.689247608,1.891355991,0.996885827,50000,8,66.5874
['data/modified_images/50000/pillar1_middle_22.tif'],128.5232086,20.83969116,1.689791441,1.860844851,0.997548433,50000,8,66.5874
['data/modified_images/50000/pillar1_top_11.tif'],69.35453796,15.27328491,2.200360537,2.396673441,0.999687275,50000,8,63.1759
['data/modified_images/50000/pillar1_top_12.tif'],73.4169693,15.86055756,2.108413458,2.328181744,0.999547127,50000,8,63.1759
['data/modified_images/50000/pillar1_top_21.tif'],69.85527039,15.21835327,2.178309679,2.538457155,0.998133437,50000,8,63.1759
['data/modified_images/50000/pillar2_bottom_11.tif'],247.1645203,20.02296448,1.73295486,1.898453832,0.997449842,50000,7.5,67.1546
['data/modified_images/50000/pillar2_bottom_12.tif'],243.2565155,19.61994171,1.764762521,1.92536211,0.997772948,50000,7.5,67.1546
['data/modified_images/50000/pillar2_bottom_22.tif'],250.97995,19.56138611,1.706583381,1.994428992,0.993591583,50000,7.5,67.1546
['data/modified_images/50000/pillar2_crown_12.tif'],182.7855835,18.75667572,1.701755643,2.037299395,0.990401216,50000,7.4,67.1546
['data/modified_images/50000/pillar2_crown_21.tif'],186.4978485,18.87760162,1.716217875,2.045909643,0.991223491,50000,7.4,67.1546
